Branch	Duplications	Transfers	Losses	Originations	CopyNum
Aaur	9157.880000000008	887.6099999999681	2036.3399999999085	52.83000000000001	20607.0
Acar	1234.0699999999865	723.3899999999753	5600.42000000015	12.369999999999969	11672.0
Adig	7519.220000000018	512.6799999999813	3748.240000000181	25.500000000000078	18823.0
Agen	6863.03000000008	1828.5599999999617	2482.0500000000034	79.99000000000024	13786.0
Ajap	7029.4700000000985	1378.7799999999559	4797.8400000001675	66.58999999999996	16248.0
Apal	4027.6200000000413	929.9499999999686	2394.749999999995	34.70000000000014	14493.0
Apla	2403.060000000006	620.059999999981	2367.749999999975	23.23000000000004	12680.0
Aque	13501.410000000156	859.1199999999724	2251.5499999999743	95.75000000000045	20803.0
Avag	17159.170000000086	2769.9800000000314	4472.600000000132	195.67000000000007	23874.0
Bbel	7261.780000000002	541.5099999999832	1683.87999999992	20.770000000000046	19250.0
Bflo	4184.570000000033	548.1099999999807	2064.659999999918	24.16000000000005	15802.0
Blea	2329.1199999999926	883.1699999999583	2838.0600000000536	45.13000000000007	8838.0
Bmal	2756.0699999999965	308.96999999999537	1239.3599999999547	9.339999999999973	7779.0
Ccru	3497.4900000000503	1728.6899999999425	5661.830000000269	102.80000000000075	11375.0
Cele	1777.2499999999893	504.719999999984	996.2499999999667	15.299999999999967	7245.0
Cfra	540.9099999999936	1123.3399999999806	682.8899999999766	16.59999999999994	5173.0
Cgig	5147.200000000112	1583.7399999999568	2858.9100000000303	70.00000000000007	13715.0
Chae	4323.510000000044	1070.6599999999657	1767.2999999999245	99.7800000000004	12517.0
Cint	653.349999999994	434.9699999999853	1606.8699999999255	8.289999999999964	8405.0
Clim	479.5599999999917	3159.540000000057	193.07000000000093	18.71999999999999	4704.0
Cowc	814.2099999999814	2627.750000000039	756.2999999999696	21.75000000000007	5492.0
Csav	5526.040000000007	341.01999999998964	2635.6200000000204	9.299999999999955	12156.0
Ctel	5801.330000000141	2370.759999999996	1997.1799999999444	107.47000000000048	15563.0
Dgig	6706.37000000003	646.3999999999796	1293.049999999937	39.310000000000024	15491.0
Dmel	5534.4900000000525	698.8199999999823	2552.580000000027	16.47999999999998	11418.0
Dpul	6741.130000000101	1208.0099999999748	1688.7599999999497	73.18000000000005	13120.0
Drer	4586.7400000000425	641.9399999999813	2562.1300000000033	27.930000000000078	13817.0
Emue	6285.840000000098	901.2599999999717	2418.0799999999977	52.709999999999994	13420.0
Emul	665.4399999999911	383.8799999999885	3166.0300000001057	9.149999999999963	5428.0
Etri	21625.999999999996	2063.1599999999457	2242.2399999999334	160.07000000000025	36624.0
Ggal	669.659999999991	594.8099999999821	6644.300000000182	8.239999999999974	10691.0
Ggor	916.8099999999979	147.31000000000165	974.7999999999607	1.400000000000001	13435.0
Gsal	734.859999999991	1028.689999999968	3354.2900000001246	20.180000000000003	5965.0
Hhon	1518.8199999999947	275.2599999999982	969.9499999999625	4.959999999999982	8216.0
Hmag	4853.610000000017	642.4699999999823	2152.1199999999417	48.690000000000005	12183.0
Hmia	4159.310000000056	981.4199999999734	3934.410000000129	60.10999999999988	11177.0
Hrob	2718.570000000027	2340.289999999995	4634.330000000127	35.85000000000002	9741.0
Hsap	1120.6099999999979	146.51000000000138	1046.5399999999627	2.1399999999999975	13567.0
Ihof	384.83999999999605	791.4099999999688	1682.2599999999436	11.969999999999931	3681.0
Lana	12149.710000000228	2850.8900000000363	3321.6300000000724	105.2300000000006	21331.0
Lcom	19636.05000000015	5549.240000000194	1863.9399999999096	228.5299999999999	37275.0
Lgig	2867.8000000000297	1360.079999999964	2293.859999999973	50.01000000000001	11757.0
Mbre	593.5299999999941	704.0099999999745	1264.1599999999626	23.400000000000095	5447.0
Mcap	15430.029999999992	885.1899999999699	1650.8599999999003	170.80000000000007	29349.0
Mdom	2247.0099999999975	326.1399999999919	1509.1399999999358	10.499999999999977	13523.0
Mley	1915.2299999999789	1004.4599999999699	1770.1899999999416	26.340000000000106	8603.0
Mlin	19424.219999999958	1664.789999999958	2232.279999999961	185.84999999999974	25518.0
Msti	6051.560000000143	3270.800000000112	7524.830000000295	101.0200000000009	16782.0
Mvir	5322.9800000000605	1029.8099999999708	3094.630000000088	48.32999999999994	14258.0
Ngen	12206.190000000108	2388.1099999999956	3927.7500000000814	183.1600000000002	21961.0
Nnom	4064.7200000000535	1024.3099999999577	3143.230000000127	39.01000000000009	14134.0
Nvec	2944.87000000001	872.4299999999737	3090.780000000107	23.000000000000032	12645.0
Nwes	6776.720000000149	2525.0600000000245	6151.890000000249	99.66000000000041	18133.0
Ocar	6216.930000000147	2083.589999999974	2841.390000000041	95.39000000000058	13742.0
Odio	6102.200000000042	2077.21999999997	4216.900000000145	69.93999999999988	11122.0
Paus	3108.2400000000657	1938.8899999999605	3958.1000000001063	40.77000000000005	11526.0
Pbac	2202.3599999999924	712.95999999997	2636.5100000000543	27.030000000000197	7733.0
Pcau	4053.2500000000764	2345.1999999999907	2794.4200000000333	42.18000000000004	11345.0
Pfla	7069.730000000092	1130.2099999999573	3864.2300000001464	122.34000000000061	16633.0
Pmin	7835.409999999933	638.9599999999796	2042.2599999999045	22.490000000000034	18456.0
Pnai	5548.050000000032	293.7299999999936	7301.440000000299	10.779999999999957	13874.0
Pvar	10064.290000000143	1562.859999999943	5026.900000000233	88.04000000000042	21937.0
Rcul	2697.980000000012	1513.389999999958	1927.0899999999408	40.29000000000004	9760.0
Resc	1550.3399999999974	225.11999999999887	2458.149999999995	4.499999999999989	11471.0
Rmue	3717.7800000000366	892.9399999999719	2594.7100000000232	52.01999999999995	11460.0
Rvar	3311.140000000024	1743.2299999999673	3698.670000000092	41.790000000000056	8321.0
Scil	10728.210000000066	584.919999999982	4268.830000000137	74.58000000000018	20844.0
Skow	2647.80000000002	662.8799999999767	2495.550000000002	13.919999999999941	13004.0
Smal	4217.070000000041	605.739999999982	2018.6299999999148	29.170000000000037	13588.0
Sman	1306.9599999999878	573.7199999999813	3039.4300000000803	11.579999999999945	6433.0
Smar	1974.9499999999764	1119.7399999999705	2484.540000000014	25.310000000000063	7972.0
Spur	6168.690000000011	534.6199999999841	4735.690000000191	24.370000000000037	17009.0
Sros	969.2899999999881	1012.4199999999735	853.4199999999702	26.490000000000098	6545.0
Syro	11694.420000000146	1314.6799999999528	3722.5000000001514	110.52000000000062	24720.0
Tadh	760.9899999999959	444.66999999998654	835.8699999999668	8.29999999999997	7765.0
Tcas	2532.760000000013	621.549999999983	2060.1599999999576	26.46000000000006	9047.0
Tspi	1874.1899999999891	598.4299999999779	3930.7700000001414	18.720000000000013	5996.0
Twil	12088.960000000077	3475.3400000000674	3288.2700000000837	149.2600000000004	20040.0
Xboc	2815.5600000000286	3551.4900000001066	6854.630000000264	69.79000000000005	10138.0
Xtro	2059.7899999999777	1889.3399999999713	6809.580000000184	16.859999999999964	12459.0
Znev	1097.0399999999877	837.5799999999789	2334.7499999999914	16.739999999999974	7543.0
81	264.71999999999895	643.879999999983	1679.1699999999455	10.569999999999954	15302.590000000158
82	3309.8400000001056	642.2199999999771	1559.4799999999236	426.7899999999975	14513.840000000597
83	1122.3099999999615	495.76999999998446	1469.7599999999168	52.68999999999996	11895.480000000405
84	2662.8300000000168	652.4999999999787	4023.7800000000993	138.85000000000022	12001.400000000398
85	856.9499999999753	861.2299999999735	2154.869999999968	86.45000000000046	8598.270000000184
86	4289.990000000139	1440.2899999999554	2259.3199999999665	421.7099999999977	13109.820000000482
87	730.2799999999802	601.3099999999835	2020.6099999999462	111.53000000000043	5943.980000000227
88	584.4499999999903	1908.1099999999778	516.319999999983	49.29999999999989	4175.040000000087
89	1120.2899999999613	1557.1599999999628	3393.5200000000737	92.84000000000052	9772.970000000234
90	1082.5299999999631	847.0099999999736	3328.54000000009	78.32000000000033	8790.350000000277
91	1392.6099999999553	492.0999999999846	1436.299999999945	48.20999999999999	8915.260000000304
92	754.6799999999761	1196.0299999999697	3850.6900000000833	74.35000000000016	9280.620000000135
93	1186.3199999999579	609.2899999999796	1939.9799999999252	82.69000000000045	9391.97000000035
94	338.34999999999627	537.739999999985	937.2099999999658	16.50999999999994	7535.560000000217
95	4271.630000000113	990.8499999999713	3351.4500000000826	329.17999999999785	15017.010000000404
96	957.7599999999752	442.05999999998744	750.3399999999702	14.93999999999993	16062.590000000213
97	1625.73999999996	280.91999999999666	1086.6999999999568	75.83000000000001	13344.280000000519
98	1715.7899999999454	1969.8299999999658	1949.1699999999435	147.8600000000002	7386.910000000262
99	4063.570000000107	2553.200000000014	2023.2899999999527	944.1599999999845	13725.120000000334
100	705.3099999999816	2452.960000000016	987.3399999999675	104.98000000000059	5390.220000000159
101	990.8399999999748	796.4599999999775	4798.88000000011	61.899999999999906	12448.4900000005
102	2252.1399999999794	2414.700000000016	2125.269999999964	290.9599999999982	7427.160000000158
103	3840.0600000000677	3536.4900000000894	2378.5399999999922	199.18000000000006	14883.450000000263
104	1767.0199999999404	363.7299999999877	2591.960000000023	65.37999999999995	12149.190000000453
105	838.8699999999695	1788.5899999999644	3625.5100000000893	237.01999999999973	8187.480000000227
106	467.5899999999866	1001.869999999974	2219.089999999957	39.580000000000155	10396.200000000188
107	2718.2400000000175	991.119999999972	2176.529999999943	208.9999999999997	12174.950000000319
108	3604.200000000048	638.4499999999763	4373.850000000176	205.36999999999964	15322.880000000341
109	5117.550000000104	1171.439999999961	1590.8899999999398	640.0399999999911	15248.710000000372
110	857.4399999999845	907.7099999999771	894.749999999966	43.56	7435.4300000002
111	2108.9199999999796	805.0099999999782	1914.4099999999437	105.23000000000057	7580.170000000215
112	308.8399999999965	465.0699999999859	591.0199999999807	22.71000000000006	7926.390000000184
113	1921.9999999999363	792.3199999999707	994.6999999999628	521.1999999999944	11694.47000000053
114	626.3899999999826	489.84999999998524	1374.1199999999342	52.07999999999998	12571.00000000029
115	530.9099999999836	1475.2599999999547	783.3099999999692	110.94000000000194	8948.510000000217
116	1292.3599999999765	1112.6899999999757	3164.2000000000567	252.79999999999905	6521.470000000171
117	1236.679999999961	1321.3599999999587	1376.9299999999612	147.9900000000005	8418.640000000238
118	709.7899999999731	1057.2599999999666	1838.1799999999396	66.08999999999985	11106.250000000144
119	831.1299999999668	886.5599999999662	946.4899999999615	353.16999999999535	9453.65000000036
120	3304.7000000000344	716.9099999999752	2024.089999999924	346.1599999999967	12776.800000000261
121	4122.410000000039	602.5599999999816	909.6599999999653	460.3399999999981	15398.17000000019
